"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PHB1",3.62379706094045e-27,0.294370104538628,0.459,0.278,1.32634596227481e-22,"2","PHB"
"NDUFB7",3.67802629777541e-27,0.469119257646825,0.495,0.321,1.34619440524878e-22,"2","NDUFB7"
"NAP1L11",4.48330238722005e-27,0.267266811325974,0.901,0.727,1.64093350674641e-22,"2","NAP1L1"
"GANAB1",4.89774542428499e-27,0.577010897052849,0.296,0.163,1.79262380274255e-22,"2","GANAB"
"NANS1",4.97693917149253e-27,0.43829660405124,0.481,0.305,1.82160950615798e-22,"2","NANS"
"ARHGAP211",5.49036441346834e-27,0.570322390878653,0.329,0.189,2.00952827897355e-22,"2","ARHGAP21"
"CXXC5",5.74475587984987e-27,0.663998821348478,0.269,0.142,2.10263809958385e-22,"2","CXXC5"
"PSMD131",5.84696311343768e-27,0.281453577070211,0.483,0.302,2.14004696914932e-22,"2","PSMD13"
"NUS11",6.12135482681022e-27,0.39723499991173,0.372,0.219,2.24047708016081e-22,"2","NUS1"
"CUL4A",6.33411126492114e-27,0.458741167885053,0.298,0.164,2.31834806407379e-22,"2","CUL4A"
"ARFIP21",8.12342936395682e-27,0.719485930510297,0.273,0.149,2.97325638150183e-22,"2","ARFIP2"
"TAGLN21",8.8398353288271e-27,0.304278609874452,0.869,0.673,3.23546812870401e-22,"2","TAGLN2"
"SCYL11",9.2878626615527e-27,0.484772853041307,0.319,0.181,3.39945061275491e-22,"2","SCYL1"
"FOSB",1.08056661903055e-26,0.412215551890838,0.564,0.387,3.95498188231371e-22,"2","FOSB"
"GOPC",1.10939314894242e-26,0.620655231591912,0.268,0.142,4.06048986444414e-22,"2","GOPC"
"GPAA11",1.16396256933365e-26,0.629344994327909,0.255,0.134,4.2602194000181e-22,"2","GPAA1"
"UFL1",1.22460642201297e-26,0.326483693152886,0.279,0.147,4.48218196520966e-22,"2","UFL1"
"HSPB11",1.61409920264465e-26,1.3237691927795,0.697,0.473,5.9077644915997e-22,"2","HSPB1"
"HGS1",1.66538866647319e-26,0.452932658610319,0.312,0.177,6.09548905815853e-22,"2","HGS"
"LAP3",2.55953708490837e-26,0.588596994292158,0.267,0.142,9.36816168447311e-22,"2","LAP3"
"CNPY2",2.95388958000429e-26,0.331991948718316,0.481,0.307,1.08115312517737e-21,"2","CNPY2"
"CAMK2D1",3.00637917110866e-26,0.648939163724484,0.261,0.14,1.10036484041748e-21,"2","CAMK2D"
"FEM1C",3.03120472446879e-26,0.6000776470834,0.306,0.173,1.10945124120282e-21,"2","FEM1C"
"COPB21",3.27749917631714e-26,0.312092543061851,0.501,0.31,1.19959747352384e-21,"2","COPB2"
"CARS1",3.46283654147304e-26,0.538949196830841,0.288,0.16,1.26743280254455e-21,"2","CARS"
"CALM21",3.77469465452585e-26,0.460140546310264,0.882,0.704,1.381575990503e-21,"2","CALM2"
"NDUFA51",3.97824012873584e-26,0.297393401478132,0.499,0.321,1.45607566951861e-21,"2","NDUFA5"
"MCUR11",4.15919545178695e-26,0.486356591120022,0.356,0.213,1.52230712730854e-21,"2","MCUR1"
"ATP5PF",7.03893013411281e-26,0.274527521953973,0.653,0.441,2.57631881838663e-21,"2","ATP5PF"
"HMG20B1",7.82516582632358e-26,0.547600704386753,0.313,0.18,2.8640889440927e-21,"2","HMG20B"
"COG31",9.86667394658869e-26,0.429087608645352,0.373,0.223,3.61130133119093e-21,"2","COG3"
"RTRAF1",1.06667245338711e-25,0.270830093537558,0.745,0.494,3.90412784664215e-21,"2","RTRAF"
"SNRPA",1.23081981852607e-25,0.449757812477986,0.259,0.137,4.50492361778729e-21,"2","SNRPA"
